profile,memory,condition,trial,session_id,attempt,attempts,infra_retries,returncode,run_status,outcome,success,strategy,turns,reported_duration_s,wall_duration_s,qos_verdict,qos_score,qos_confidence,effect_score,event_db,stdout_path,stderr_path,command
none,off,none_memory-off,1,4f69b4d2,1,1,0,0,completed,max_retries_exceeded,False,co_sr,18,234.0,234.174,degraded,-0.075059,0.3753,-0.075059,logs/experiments/probe_none_off_stable/db/none_memory-off.sqlite3,logs/experiments/probe_none_off_stable/raw/none_memory-off/trial_01.stdout.txt,logs/experiments/probe_none_off_stable/raw/none_memory-off/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,off,none_memory-off,2,17e7022f,1,1,0,1,run_error,run_error,False,,,,200.994,,,,-1.0,logs/experiments/probe_none_off_stable/db/none_memory-off.sqlite3,logs/experiments/probe_none_off_stable/raw/none_memory-off/trial_02.stdout.txt,logs/experiments/probe_none_off_stable/raw/none_memory-off/trial_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
